@RELATION	liability
@ATTRIBUTE	manufacturer_name	{'MEDTRONIC-PUERTO-RICO-OPERATIONS-CO.','LIFESCAN-INC.','ABBOTT-DIABETES-CARE-INC.','HILL-ROM-RITTER','ANIMAS-CORP.','BIOTRONIK-SE-&-CO.-KG','ELI-LILLY-AND-CO.','DEPUY-INTERNATIONAL','SORIN-CRM-S.R.L.','ETHICON-ENDO-SURGERY-INC.(CINCINNATI)','CARDIAC-PACEMAKERS','BOSTON-SCIENTIFIC---SPENCER','BAXTER-HEALTHCARE---SINGAPORE','TERUMO-CARDIOVASCULAR-SYSTEMS-CORP.','CARL-ZEISS-SURGICAL-GMBH','HILL-ROM-INC','IMPACT-INSTRUMENTATION-INC.','ZOLL-MEDICAL-CORPORATION','MPROC-VILLALBA','BIOENTERICS-CORP','INVACARE-TAYLOR-STREET','MEDTRONIC-PUERTO-RICO-INC.','MEDTRONIC-MED-REL-INC.','COOK-INC.','BIOHORIZONS-IMPLANT-SYSTEMS-INC.','GUIDANT-CRM-CLONMEL-IRELAND','ALCON-PRECISION-DEVICE---SINKING-SPRING','STRYKER-OSTEOSYNTHESIS-SELZACH','ABBOTT-DIABETES-CARE-INC-USA','DISETRONIC-MEDICAL-SYSTEMS-INC.','BOSTON-SCIENTIFIC','IDEV-TECHNOLOGIES-INC.','ABBOTT-DIABETES-CARE-INC.-USA','ROCHE-DIAGNOSTICS','BOSTON-SCIENTIFIC---MARLBOROUGH','BAXTER-HEALTHCARE---MOUNTAIN-HOME','ANIMAS-CORPORATION','BOSTON-SCIENTIFIC---MAPLE-GROVE','PHILIPS-MEDICAL-SYSTEMS','STERIS-CORPORATION---MONTGOMERY','COOK-BIOTECH-INC.','CPI---DEL-CARIBE','ST-JUDE-MEDICAL-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','MEDTRONIC-NEUROMODULATION','GE-OEC-MEDICAL-SYSTEMS-(SLC)','IMMUCOR','STRYKER-SPINE-BORDEAUX','ETHICON-INC.','CYBERONICS-INC.','CARDIAC-PACEMAKERS-INC','W.L.-GORE-&-ASSOCIATES','ETHICON-ENDO-SURGERY-LLC.','BECKMAN-COULTER-INC.','MEDTRONIC-MINIMED','WELCH-ALLYN-PROTOCOL-INC.','HOSPIRA-INC.','CODMAN-AND-SHURTLEFF-INC','ROCHE-DIAGNOSTICS-CORP.','LIFESCAN-EUROPE-A-DIVISION-OF-CILAG-GMBH-INTL','MEDTRONIC-PUERTO-RICO-OPERATIONS-MED-REL','PHYSIO-CONTROL-INC.','ALCON---IRVINE-TECHNOLOGY-CENTER','NXSTAGE-MEDICAL-INC.','AMS-INNOVATION-CENTER','VASCULAR-SOLUTIONS-INC.','ORTHO-CLINICAL-DIAGNOSTICS-INC.','USSC-PUERTO-RICO','8010379-DEPUY-INTERNATIONAL','IMMUCOR-INC.','GE-OEC-MEDICAL-SYSTEMS-INC.','ETHICON-ENDO-SURGERY-INC-(CINCINNATI)','CONMED-LINVATEC','EV3-NEUROVASCULAR','EDWARDS-LIFESCIENCES-PR','EDWARDS-LIFESCIENCES','MEDTRONIC-INC.','BAXTER-HEALTHCARE---LARGO','ST.-JUDE-MEDICAL','GE-OEC-MEDICAL-SYSTEMS-GMBH','BAXTER-HEALTHCARE---CLEVELAND','CORDIS-DE-MEXICO','ST.-JUDE-MEDICAL---NEUROMODULATION','MEDTRONIC-MED-REL-MEDTRONIC-PUERTO-RICO','OLYMPUS-MEDICAL-SYSTEMS-CORPORATION','CARDIAC-PACEMAKERS-INC.','AV-TEMECULA-CT','COCHLEAR-LTD.','ABBOTT-VASCULAR-CARDIAC-THERAPIES','SORIN-CRM','BAXTER-HEALTHCARE-CORP','NELLCOR-PURITAN-BENNETT','ATHLONE','MEDTRONIC-S.A.','THE-ANSPACH-EFFORT-INC.','FISHER-&-PAYKEL-HEALTHCARE-LTD.','ETHICON-ENDO-SURGERY-LLC','SYNTHES-GMBH','POPULAR-PLASTICS','ETHICON-ENDO-SURGERY-INC.-(CINCINNATI)','STRYKER-MEDICAL','DEPUY-ORTHOPAEDICS-INC.','MEDTRONIC-INC.-NEUROLOGICAL-DIVISION','HILL-ROM-INC.','MEDTRONIC-SOFAMOR-DANEK-MANUFACTURING','DEPUY-RAYNHAM-A-DIVISION-OF-DEPUY-ORTHOPAEDICS-INC.','SOLTA-MEDICAL','ROCHE-INSULIN-DELIVERY-SYSTEMS-INC.','MEDTRONIC-IRELAND','UNKNOWN-MANUFACTURING-FACILITY','NEUROLOGICAL-DIV.-MEDTRONIC-INC','CARDIAC-PACEMAKERS-INC.-GUIDANT-PUERTO-RICO-B.V.','FRESENIUS-MEDICAL-CARE','ETHICON-ENDO-SURGERY','ABBOTT-VASCULAR---CARDIAC-THERAPIES','THE-ANSPACH-EFFORT','INTUITIVE-SURGICAL-INC.','MEDTRONIC-INC.-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','POREX-SURGICAL','GENTEEL-HOMECARE-PRODUCTS','COOPERVISION-MANUFACTURING-LTD.','STRYKER-ENDOSCOPY-SAN-JOSE','SIEMENS-HEALTHCARE-DIAGNOSTICS','MEDTRONIC','SETO-FACTORY-OF-ASAHI-INTECC-CO.','APPLIED-MEDICAL-RESOURCES','ZIMMER-GMBH','MENTOR','SMITHS-MEDICAL-MD','MDT-PUERTO-RICO-OPERATIONS-CO','HAMILTON-BONADUZ-AG','ALCON-LABORATORIES-INC.','STAAR-SURGICAL-CO.','DAVOL-INC.-SUB.-C.R.-BARD-INC.','ZOLL-LIFECOR-CORPORATION','BAXTER-HEALTHCARE','EXACTECH-INC.','MEDTRONIC-MILACA-INC.','VOLCANO-CORPORATION','ABBOTT-VASCULAR-REDWOOD-CITY','BAUSCH-&-LOMB-INC.','BOSTON-SCIENTIFIC-CORPORATION','ZOLL-LIFECOR-CORP','NOVA-BIOMEDICAL-CORPORATION','BAXTER-HEALTHCARE-CORP.','BAYER-HEALTHCARE-LLC','ABBOTT-DIABETES-CARE-LIMITED-UK','GE-OEC-MEDICAL-SYSTEMS-INC','ABBOTT-MANUFACTURING-INC.','TRINITY-STERILE-INC.','BOSTON-SCIENTIFIC---MIAMI','DEPUY-WARSAW','ANGIOTECH-INTERVENTIONAL','DEPUY-MITEK','BECTON-DICKINSON','COOK-ENDOSCOPY','ADVANCED-STERILIZATION-PRODUCTS','ZOLL-CIRCULATION-INC.','ABBOTT-DIAGNOSTICS-DIVISION/CELLDYN','','MEDTRONIC-B.V.','MAQUET-GMBH-AND-CO.-KG','HOSPIRA-DE-COSTA-RICA-LTD','MDT-PUERTO-RICO-OPERATIONS-CO.-JUNCOS','GLOBAL-PHARMACOVIGILANCE-AND-EPIDEMIOLOGY/SANOFI-AVENTIS','STRYKER','OGDEN-MFG','INTERNATIONAL-TECHNIDYNE-CORP.','ST-JUDE-MEDICAL---NEUROMODULATION-DIV','ALCON---FORT-WORTH/ALCON-LABORATORIES-INC.','RESPIRONICS-INC.','PERCLOSE-INC','COVIDIEN-LP-(VALLEYLAB)','SIEMENS-HEALTHCARE-DIAGNOSTICS-INC.','CORNEAL','OTISMED-CORPORATION','FISHER-&-PAYKEL-HEALTHCARE-LTD','SYNTHES-(USA)','ZIMMER','DEPUY-INTL.-LTD.-?-REG.-#-8010379','CARDINAL-HEALTH-207-INC','1818910-DEPUY-ORTHOPAEDICS-INC.','PURITAN-BENNETT-CORP.','DEPUY-RAYNHAM'}
@ATTRIBUTE	device_operator	{'LAY-USER/PATIENT','0','HEALTH-PROFESSIONAL','OTHER','PHYSICIAN','OTHER-HEALTH-CARE-PROFESSIONAL','MEDICAL-TECHNOLOGIST','PATIENT','UNKNOWN','NOT-APPLICABLE','INVALID-DATA','MEDICAL-ASSISTANT','SERVICE-AND-TESTING-PERSONNEL',''}
@ATTRIBUTE	reporter_occupation_code	{'OTHER','LAY-USER/PATIENT','UNKNOWN','NOT-APPLICABLE','ATTORNEY','PHYSICIAN','HEALTH-PROFESSIONAL','NURSE','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','NO-INFORMATION','DENTIST','MEDICAL-TECHNOLOGIST','PHARMACIST','INVALID-DATA','OTHER-HEALTH-CARE-PROFESSIONAL','PATIENT','','MEDICAL-ASSISTANT','AUDIOLOGIST','BIOMEDICAL-ENGINEER','SERVICE-AND-TESTING-PERSONNEL','RISK-MANAGER'}
@ATTRIBUTE	device_report_product_code	{'OYC','NBW','LFR','FNL','LZG','MRM','FMF','KWA','NVZ','GEI','NIK','FFL','FPA','DWA','MHY','EPT','CBK','MKJ','KNS','?','ITI','LWS','MIH','DZE','HNN','LXH','MAF','FGE','CEM','FKX','FTD','DTB','FTL','NVY','LKK','JAA','KSZ','KWQ','GAM','LYJ','DXY','MLV','FZP','GDW','GKZ','NIQ','FRN','HCG','CFR','HQC','LFL','KDI','GEX','MHW','JJE','GCJ','LPH','KNW','GET','MFE','JTC','DYG','KRH','MGB','LGW','FDF','MDS','MCM','DQA','BSR','HBB','GCT','BTT','HTW','INN','GDO','INK','KWP','NJL','NKE','MMI','LNX','LOX','JOF','JDI','HWE','ITJ','LPL','FCW','JLW','FMK','DQX','KNY','HRS','HQE','HQL','MVK','JWH','DTE','DQO','LYL','MDM','KWB','EZW','FOZ','MSD','MBI','MND','MLR','DRM','OJX','NVN','FQO','LMH','KDJ','GKP','DYB','LPN','CHP','HWT','NQW','HWC','LDD','BZR'}
@ATTRIBUTE	expired	{TRUE,FALSE}
@ATTRIBUTE	class	{'Death','Injury','Malfunction','Other','No answer provided'}

@DATA
'MEDTRONIC-PUERTO-RICO-OPERATIONS-MED-REL','LAY-USER/PATIENT','NOT-APPLICABLE','LZG',FALSE,'Injury'
'ZOLL-MEDICAL-CORPORATION','OTHER','OTHER','MKJ',FALSE,'Malfunction'
'PHYSIO-CONTROL-INC.','HEALTH-PROFESSIONAL','OTHER','MKJ',FALSE,'Malfunction'
'ALCON---IRVINE-TECHNOLOGY-CENTER','HEALTH-PROFESSIONAL','UNKNOWN','HQC',FALSE,'Malfunction'
'ROCHE-DIAGNOSTICS','LAY-USER/PATIENT','PATIENT','LFR',FALSE,'Malfunction'
'ETHICON-ENDO-SURGERY-LLC.','HEALTH-PROFESSIONAL','OTHER','LFL',FALSE,'Malfunction'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','OTHER','DXY',FALSE,'Injury'
'NXSTAGE-MEDICAL-INC.','LAY-USER/PATIENT','OTHER','KDI',FALSE,'Injury'
'AMS-INNOVATION-CENTER','HEALTH-PROFESSIONAL','OTHER','GEX',FALSE,'Malfunction'
'VASCULAR-SOLUTIONS-INC.','HEALTH-PROFESSIONAL','OTHER','MHW',FALSE,'Injury'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','INVALID-DATA','LWS',FALSE,'Injury'
'ETHICON-INC.','HEALTH-PROFESSIONAL','PHYSICIAN','FTL',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','LAY-USER/PATIENT','NIK',TRUE,'Malfunction'
'LIFESCAN-EUROPE-A-DIVISION-OF-CILAG-GMBH-INTL','LAY-USER/PATIENT','PATIENT','NBW',FALSE,'Malfunction'
'BECKMAN-COULTER-INC.','0','OTHER','JJE',FALSE,'Malfunction'
'ORTHO-CLINICAL-DIAGNOSTICS-INC.','HEALTH-PROFESSIONAL','MEDICAL-TECHNOLOGIST','JJE',FALSE,'Malfunction'
'USSC-PUERTO-RICO','HEALTH-PROFESSIONAL','PHYSICIAN','GCJ',FALSE,'Malfunction'
'8010379-DEPUY-INTERNATIONAL','PHYSICIAN','PHYSICIAN','LPH',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','PHYSICIAN','LWS',FALSE,'Injury'
'IMMUCOR-INC.','MEDICAL-TECHNOLOGIST','MEDICAL-TECHNOLOGIST','KSZ',FALSE,'Malfunction'
'GE-OEC-MEDICAL-SYSTEMS-INC.','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','JAA',FALSE,'Malfunction'
'ETHICON-ENDO-SURGERY-INC-(CINCINNATI)','HEALTH-PROFESSIONAL','OTHER','KNW',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','PHYSICIAN','LWS',FALSE,'Injury'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','INVALID-DATA','DTB',FALSE,'Injury'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','PHYSICIAN','DXY',FALSE,'Injury'
'CONMED-LINVATEC','NOT-APPLICABLE','OTHER-HEALTH-CARE-PROFESSIONAL','GET',FALSE,'Malfunction'
'EV3-NEUROVASCULAR','HEALTH-PROFESSIONAL','PHYSICIAN','MFE',FALSE,'Injury'
'ORTHO-CLINICAL-DIAGNOSTICS-INC.','INVALID-DATA','','JTC',FALSE,'Malfunction'
'EDWARDS-LIFESCIENCES-PR','HEALTH-PROFESSIONAL','OTHER','DYG',FALSE,'Malfunction'
'EDWARDS-LIFESCIENCES','HEALTH-PROFESSIONAL','PHYSICIAN','KRH',FALSE,'Injury'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','PHYSICIAN','DTB',FALSE,'Injury'
'ETHICON-INC.','HEALTH-PROFESSIONAL','OTHER','FTL',FALSE,'Injury'
'ETHICON-INC.','HEALTH-PROFESSIONAL','NOT-APPLICABLE','GAM',FALSE,'Injury'
'MEDTRONIC-INC.','LAY-USER/PATIENT','OTHER','NVZ',FALSE,'Malfunction'
'BAXTER-HEALTHCARE---LARGO','LAY-USER/PATIENT','OTHER','FKX',FALSE,'Malfunction'
'ST.-JUDE-MEDICAL','HEALTH-PROFESSIONAL','PHYSICIAN','MGB',FALSE,'Injury'
'GE-OEC-MEDICAL-SYSTEMS-GMBH','HEALTH-PROFESSIONAL','OTHER','JAA',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','PHYSICIAN','LWS',FALSE,'Injury'
'LIFESCAN-EUROPE-A-DIVISION-OF-CILAG-GMBH-INTL','LAY-USER/PATIENT','PATIENT','NBW',FALSE,'Malfunction'
'ST-JUDE-MEDICAL-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','0','OTHER-HEALTH-CARE-PROFESSIONAL','LWS',FALSE,'Injury'
'GE-OEC-MEDICAL-SYSTEMS-INC.','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','JAA',FALSE,'Malfunction'
'STRYKER-SPINE-BORDEAUX','HEALTH-PROFESSIONAL','OTHER','LXH',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','ATTORNEY','LWS',FALSE,'Death'
'BAXTER-HEALTHCARE---CLEVELAND','MEDICAL-ASSISTANT','MEDICAL-ASSISTANT','KDI',FALSE,'Injury'
'CORDIS-DE-MEXICO','HEALTH-PROFESSIONAL','OTHER','MAF',FALSE,'Injury'
'WELCH-ALLYN-PROTOCOL-INC.','HEALTH-PROFESSIONAL','NOT-APPLICABLE','MKJ',FALSE,'Malfunction'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','PHYSICIAN','LWS',FALSE,'Injury'
'BAXTER-HEALTHCARE---LARGO','LAY-USER/PATIENT','OTHER','FKX',FALSE,'Malfunction'
'DEPUY-INTERNATIONAL','HEALTH-PROFESSIONAL','ATTORNEY','KWA',FALSE,'Injury'
'ST.-JUDE-MEDICAL---NEUROMODULATION','HEALTH-PROFESSIONAL','NOT-APPLICABLE','LGW',FALSE,'Injury'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','LAY-USER/PATIENT','DTB',FALSE,'Injury'
'MEDTRONIC-MED-REL-MEDTRONIC-PUERTO-RICO','HEALTH-PROFESSIONAL','OTHER','LGW',FALSE,'Malfunction'
'OLYMPUS-MEDICAL-SYSTEMS-CORPORATION','HEALTH-PROFESSIONAL','OTHER','FDF',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC.','UNKNOWN','PHYSICIAN','NIK',TRUE,'Malfunction'
'AV-TEMECULA-CT','HEALTH-PROFESSIONAL','HEALTH-PROFESSIONAL','NIQ',FALSE,'Malfunction'
'LIFESCAN-INC.','HEALTH-PROFESSIONAL','PATIENT','MDS',FALSE,'Malfunction'
'COCHLEAR-LTD.','LAY-USER/PATIENT','AUDIOLOGIST','MCM',FALSE,'Injury'
'ABBOTT-VASCULAR-CARDIAC-THERAPIES','HEALTH-PROFESSIONAL','OTHER','MAF',FALSE,'Malfunction'
'ZOLL-MEDICAL-CORPORATION','OTHER','NOT-APPLICABLE','MKJ',FALSE,'Malfunction'
'SORIN-CRM','HEALTH-PROFESSIONAL','PHYSICIAN','MRM',FALSE,'Injury'
'BAXTER-HEALTHCARE-CORP','HEALTH-PROFESSIONAL','OTHER','FRN',FALSE,'Malfunction'
'NELLCOR-PURITAN-BENNETT','OTHER','BIOMEDICAL-ENGINEER','DQA',FALSE,'Malfunction'
'GE-OEC-MEDICAL-SYSTEMS-(SLC)','HEALTH-PROFESSIONAL','OTHER','JAA',FALSE,'Malfunction'
'ATHLONE','0','UNKNOWN','BSR',FALSE,'Injury'
'MEDTRONIC-S.A.','LAY-USER/PATIENT','PHYSICIAN','NVZ',TRUE,'Injury'
'ABBOTT-VASCULAR-CARDIAC-THERAPIES','HEALTH-PROFESSIONAL','PHYSICIAN','NIQ',FALSE,'Injury'
'THE-ANSPACH-EFFORT-INC.','HEALTH-PROFESSIONAL','OTHER','HBB',FALSE,'Malfunction'
'OLYMPUS-MEDICAL-SYSTEMS-CORPORATION','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','GCT',FALSE,'Malfunction'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','OTHER','NVZ',FALSE,'Death'
'BECKMAN-COULTER-INC.','HEALTH-PROFESSIONAL','OTHER','GKZ',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','LAY-USER/PATIENT','DXY',FALSE,'Malfunction'
'FISHER-&-PAYKEL-HEALTHCARE-LTD.','HEALTH-PROFESSIONAL','UNKNOWN','BTT',FALSE,'Malfunction'
'TERUMO-CARDIOVASCULAR-SYSTEMS-CORP.','HEALTH-PROFESSIONAL','NOT-APPLICABLE','GCJ',FALSE,'Malfunction'
'ETHICON-ENDO-SURGERY-LLC','HEALTH-PROFESSIONAL','OTHER','FZP',FALSE,'Malfunction'
'LIFESCAN-EUROPE-A-DIVISION-OF-CILAG-GMBH-INTL','LAY-USER/PATIENT','PATIENT','NBW',FALSE,'Malfunction'
'SYNTHES-GMBH','HEALTH-PROFESSIONAL','OTHER','HTW',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC','HEALTH-PROFESSIONAL','PHYSICIAN','NIQ',FALSE,'Injury'
'POPULAR-PLASTICS','LAY-USER/PATIENT','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','INN',FALSE,'No answer provided'
'ETHICON-ENDO-SURGERY-INC.-(CINCINNATI)','HEALTH-PROFESSIONAL','UNKNOWN','GDO',FALSE,'Malfunction'
'BAXTER-HEALTHCARE---MOUNTAIN-HOME','LAY-USER/PATIENT','OTHER','FKX',FALSE,'Malfunction'
'ROCHE-DIAGNOSTICS','LAY-USER/PATIENT','NOT-APPLICABLE','NBW',FALSE,'Malfunction'
'USSC-PUERTO-RICO','HEALTH-PROFESSIONAL','OTHER','GCJ',FALSE,'Malfunction'
'STRYKER-MEDICAL','OTHER','UNKNOWN','INK',FALSE,'Malfunction'
'ZOLL-MEDICAL-CORPORATION','OTHER','NOT-APPLICABLE','MKJ',FALSE,'Malfunction'
'ANIMAS-CORPORATION','LAY-USER/PATIENT','OTHER','LZG',FALSE,'Malfunction'
'DEPUY-ORTHOPAEDICS-INC.','HEALTH-PROFESSIONAL','OTHER','LPH',FALSE,'Injury'
'SORIN-CRM','HEALTH-PROFESSIONAL','PHYSICIAN','NVZ',TRUE,'Injury'
'MEDTRONIC-INC.-NEUROLOGICAL-DIVISION','HEALTH-PROFESSIONAL','PHYSICIAN','LKK',FALSE,'Injury'
'CORDIS-DE-MEXICO','HEALTH-PROFESSIONAL','OTHER','NIQ',TRUE,'Death'
'LIFESCAN-INC.','LAY-USER/PATIENT','LAY-USER/PATIENT','NBW',FALSE,'Malfunction'
'INVACARE-TAYLOR-STREET','LAY-USER/PATIENT','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','ITI',FALSE,'Malfunction'
'HILL-ROM-INC.','0','NOT-APPLICABLE','FNL',FALSE,'Malfunction'
'MEDTRONIC-SOFAMOR-DANEK-MANUFACTURING','HEALTH-PROFESSIONAL','PHYSICIAN','KWP',FALSE,'Malfunction'
'ZOLL-MEDICAL-CORPORATION','OTHER','NOT-APPLICABLE','MKJ',FALSE,'Malfunction'
'ROCHE-DIAGNOSTICS','LAY-USER/PATIENT','LAY-USER/PATIENT','LFR',FALSE,'Malfunction'
'DEPUY-RAYNHAM-A-DIVISION-OF-DEPUY-ORTHOPAEDICS-INC.','HEALTH-PROFESSIONAL','OTHER','NJL',FALSE,'Injury'
'SOLTA-MEDICAL','HEALTH-PROFESSIONAL','OTHER','GEI',FALSE,'Injury'
'BAXTER-HEALTHCARE---SINGAPORE','0','OTHER','FRN',FALSE,'Malfunction'
'DEPUY-INTERNATIONAL','HEALTH-PROFESSIONAL','PATIENT','KWA',FALSE,'Injury'
'LIFESCAN-EUROPE-A-DIVISION-OF-CILAG-GMBH-INTL','LAY-USER/PATIENT','OTHER','NBW',FALSE,'Malfunction'
'ROCHE-INSULIN-DELIVERY-SYSTEMS-INC.','LAY-USER/PATIENT','UNKNOWN','LZG',FALSE,'Malfunction'
'MEDTRONIC-IRELAND','0','PHYSICIAN','NIQ',FALSE,'Malfunction'
'ROCHE-INSULIN-DELIVERY-SYSTEMS-INC.','LAY-USER/PATIENT','UNKNOWN','LZG',FALSE,'Injury'
'ST-JUDE-MEDICAL-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','OTHER-HEALTH-CARE-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','NKE',TRUE,'Injury'
'CORDIS-DE-MEXICO','HEALTH-PROFESSIONAL','OTHER','NIQ',FALSE,'Injury'
'GE-OEC-MEDICAL-SYSTEMS-INC.','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','JAA',FALSE,'Malfunction'
'UNKNOWN-MANUFACTURING-FACILITY','LAY-USER/PATIENT','OTHER','FKX',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','HEALTH-PROFESSIONAL','PHYSICIAN','LWS',FALSE,'Malfunction'
'NEUROLOGICAL-DIV.-MEDTRONIC-INC','HEALTH-PROFESSIONAL','PHYSICIAN','LKK',FALSE,'Other'
'CARDIAC-PACEMAKERS-INC.-GUIDANT-PUERTO-RICO-B.V.','UNKNOWN','PHYSICIAN','NIK',FALSE,'Malfunction'
'ABBOTT-DIABETES-CARE-INC.-USA','LAY-USER/PATIENT','NO-INFORMATION','LFR',FALSE,'Malfunction'
'FRESENIUS-MEDICAL-CARE','HEALTH-PROFESSIONAL','NURSE','KDI',FALSE,'Injury'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','PHYSICIAN','LWS',TRUE,'Malfunction'
'ETHICON-ENDO-SURGERY','HEALTH-PROFESSIONAL','OTHER','GCJ',FALSE,'Malfunction'
'ROCHE-DIAGNOSTICS','HEALTH-PROFESSIONAL','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','MMI',FALSE,'Malfunction'
'CYBERONICS-INC.','HEALTH-PROFESSIONAL','PHYSICIAN','LNX',FALSE,'Malfunction'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','OTHER','LWS',FALSE,'Injury'
'ORTHO-CLINICAL-DIAGNOSTICS-INC.','HEALTH-PROFESSIONAL','OTHER','KSZ',FALSE,'Malfunction'
'GE-OEC-MEDICAL-SYSTEMS-(SLC)','HEALTH-PROFESSIONAL','OTHER','JAA',FALSE,'Malfunction'
'ABBOTT-VASCULAR---CARDIAC-THERAPIES','HEALTH-PROFESSIONAL','PHYSICIAN','NIQ',FALSE,'Injury'
'BAXTER-HEALTHCARE---SINGAPORE','SERVICE-AND-TESTING-PERSONNEL','SERVICE-AND-TESTING-PERSONNEL','FRN',FALSE,'Malfunction'
'ABBOTT-VASCULAR-CARDIAC-THERAPIES','HEALTH-PROFESSIONAL','PHYSICIAN','LOX',FALSE,'Malfunction'
'THE-ANSPACH-EFFORT','HEALTH-PROFESSIONAL','OTHER','HBB',FALSE,'Malfunction'
'INTUITIVE-SURGICAL-INC.','HEALTH-PROFESSIONAL','OTHER','GEI',FALSE,'Malfunction'
'ETHICON-ENDO-SURGERY-INC.(CINCINNATI)','HEALTH-PROFESSIONAL','PHYSICIAN','LFL',FALSE,'Malfunction'
'MEDTRONIC-INC.-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','LAY-USER/PATIENT','INVALID-DATA','DTB',FALSE,'Injury'
'POREX-SURGICAL','HEALTH-PROFESSIONAL','PHYSICIAN','JOF',FALSE,'Other'
'DEPUY-ORTHOPAEDICS-INC.','HEALTH-PROFESSIONAL','OTHER','JDI',FALSE,'Injury'
'AV-TEMECULA-CT','HEALTH-PROFESSIONAL','HEALTH-PROFESSIONAL','NIQ',FALSE,'Malfunction'
'LIFESCAN-INC.','LAY-USER/PATIENT','LAY-USER/PATIENT','NBW',FALSE,'Malfunction'
'INTUITIVE-SURGICAL-INC.','HEALTH-PROFESSIONAL','UNKNOWN','GEI',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-OPERATIONS-MED-REL','LAY-USER/PATIENT','NOT-APPLICABLE','LZG',FALSE,'Malfunction'
'SYNTHES-GMBH','HEALTH-PROFESSIONAL','HEALTH-PROFESSIONAL','HWE',FALSE,'Malfunction'
'ROCHE-DIAGNOSTICS','LAY-USER/PATIENT','NOT-APPLICABLE','CFR',FALSE,'Malfunction'
'DEPUY-INTERNATIONAL','HEALTH-PROFESSIONAL','PHYSICIAN','KWA',FALSE,'Injury'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','PHYSICIAN','LWS',FALSE,'Injury'
'GENTEEL-HOMECARE-PRODUCTS','LAY-USER/PATIENT','OTHER','ITJ',FALSE,'Malfunction'
'AV-TEMECULA-CT','HEALTH-PROFESSIONAL','HEALTH-PROFESSIONAL','MGB',FALSE,'Injury'
'BAXTER-HEALTHCARE---SINGAPORE','SERVICE-AND-TESTING-PERSONNEL','OTHER','FRN',FALSE,'Malfunction'
'COOPERVISION-MANUFACTURING-LTD.','LAY-USER/PATIENT','NOT-APPLICABLE','LPL',FALSE,'Injury'
'STRYKER-ENDOSCOPY-SAN-JOSE','OTHER','NOT-APPLICABLE','FCW',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','INVALID-DATA','LWS',FALSE,'Injury'
'SIEMENS-HEALTHCARE-DIAGNOSTICS','0','HEALTH-PROFESSIONAL','JLW',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC','HEALTH-PROFESSIONAL','PHYSICIAN','LOX',FALSE,'Malfunction'
'ROCHE-DIAGNOSTICS','LAY-USER/PATIENT','PATIENT','FMK',FALSE,'Malfunction'
'ETHICON-INC.','HEALTH-PROFESSIONAL','OTHER','FTL',FALSE,'Injury'
'MEDTRONIC','INVALID-DATA','PHYSICIAN','LWS',FALSE,'Injury'
'SETO-FACTORY-OF-ASAHI-INTECC-CO.','HEALTH-PROFESSIONAL','OTHER','DQX',TRUE,'Malfunction'
